type,description,severity,location.type,location.coordinates[0],location.coordinates[1],location.name,reportedAt,verified
harassment,Best issue interest level rock pull worker.,2,Point,77.2198056826387,28.645722205819332,GB Road,2024-07-22T16:42:34,True
other,I fund technology eat couple large.,2,Point,77.06909177685672,28.47896953462335,IFFCO Chowk,2024-11-25T07:36:37,False
other,Everything economic type kitchen technology nearly anything yourself.,2,Point,77.24972910348598,28.505360566820514,Sangam Vihar,2025-05-05T03:43:49,False
poor_lighting,Why unit support coach magazine degree.,2,Point,77.08821631550869,28.692787000257297,Begumpur,2024-11-17T05:21:18,True
other,Clearly able hospital unit size expect.,3,Point,77.2497128216456,28.50501536334921,Sangam Vihar,2025-03-12T00:05:31,False
theft,Product main couple design around save article finish anyone live try most arm.,4,Point,77.03577875806025,28.81292502160015,Bawana,2024-12-28T16:41:35,False
other,Surface attention attack technology identify walk now.,4,Point,77.21922373545064,28.64287721141606,Kamla Bridge,2025-01-25T07:18:19,False
theft,Always bank price north first end prove fire enter capital population lead upon.,2,Point,76.99363471388737,28.608981743184895,Najafgarh,2025-06-12T21:03:51,True
harassment,Act perform none beyond Mrs media.,3,Point,77.22045056475619,28.644256782929,GB Road,2024-08-04T21:58:23,False
other,Thing these hard citizen street region particularly would pressure account.,5,Point,77.25135782698601,28.505928725812012,Sangam Vihar,2025-04-27T19:21:04,False
poor_lighting,Federal professional voice care break blood network evening painting response data plant enough.,3,Point,77.03599975611529,28.813390298713323,Bawana,2024-12-21T04:50:07,False
harassment,Town suffer begin interest everybody about side PM energy.,3,Point,77.0883761711243,28.482049394674064,Sikandarpur Metro,2025-03-29T08:09:41,False
other,Necessary into act away third tough nation strong old challenge camera.,3,Point,77.1856156818931,28.49761438167797,Chattarpur,2024-10-12T04:33:52,True
harassment,Together someone team together decide economic bill sister this image.,4,Point,77.13407600926874,28.665341714699778,Zakhira Flyover,2025-02-10T12:22:23,False
other,Understand door class son computer include conference.,3,Point,77.17276476615028,28.46124670513176,Fatehpur Beri,2025-06-08T12:14:05,False
unsafe_area,Site in prove same easy city red him although likely.,5,Point,77.21489386162845,28.538580819828724,Malviya Nagar,2024-08-30T23:32:31,False
unsafe_area,Glass star the development process huge everything attorney significant go meeting.,5,Point,77.06800834237447,28.47992767349674,IFFCO Chowk,2025-03-05T08:57:23,False
harassment,Former agree theory end oil worker although others generation skill job worker.,5,Point,77.21170118502172,28.64585642717688,Paharganj,2024-07-29T09:17:07,True
theft,Tonight couple and job mind southern rather vote say culture.,5,Point,77.03506697607158,28.81168036459419,Bawana,2024-11-28T23:22:18,False
unsafe_area,We TV perhaps professional by tonight.,2,Point,77.13559856493683,28.66530117665905,Zakhira Flyover,2024-12-28T10:06:46,False
theft,Project for recent never court professor here security community.,3,Point,77.19196271683593,28.648212828115902,Mera Bridge,2025-01-21T11:50:02,False
theft,Image street fight decision size parent focus kid put.,5,Point,77.05188084351518,28.620804310756704,Uttam Nagar,2024-12-29T23:52:32,False
poor_lighting,Soldier where save probably exist professional people behavior weight dog financial southern.,3,Point,77.24726101063483,28.5465931830072,Sant Nagar,2024-08-10T16:49:37,False
theft,Animal worker particularly shoulder lay though.,3,Point,77.22143741872993,28.644593415650988,GB Road,2025-01-24T01:01:49,False
poor_lighting,Responsibility himself hundred challenge reach throughout team those.,2,Point,77.05205357703421,28.62090028467453,Uttam Nagar,2025-04-12T18:47:33,False
harassment,Despite sound receive let newspaper true building card let most next.,2,Point,77.25723704266541,28.735502685090687,Sonia Vihar,2024-10-15T16:49:11,True
unsafe_area,Partner rest measure store natural today season listen else easy point.,2,Point,77.21583935082027,28.54008319225446,Malviya Nagar,2025-04-07T21:17:22,False
other,Machine dream key require doctor from throw ball character him check degree.,2,Point,77.04886734457858,28.618738449830673,Kali Basti,2024-11-22T14:14:15,False
theft,Former letter artist strategy hope show watch affect thing offer local.,4,Point,77.25029157169358,28.50447737190523,Sangam Vihar,2024-10-29T02:01:05,False
unsafe_area,Send table well industry section national owner determine detail.,4,Point,76.99437146857488,28.610358036663413,Najafgarh,2024-11-30T17:40:27,True
harassment,Ahead from quickly identify close level camera performance agree hour north agree.,3,Point,77.21036491314074,28.645411769388097,Paharganj,2025-02-19T02:14:58,False
theft,Career left anyone here deep force seven here sell story edge.,4,Point,77.13447636914601,28.66576997478243,Zakhira Flyover,2024-07-16T06:48:36,False
other,Affect much yourself glass practice sit prepare senior wear current after charge.,2,Point,76.99360920456498,28.609835726407425,Najafgarh,2024-08-02T11:51:12,False
theft,Prove nor design record short cold parent security boy standard who blue.,4,Point,77.21031407195542,28.644630857340836,Paharganj,2024-06-24T10:43:43,False
poor_lighting,Office traditional heart walk cup option store drug recent.,2,Point,77.08830719462465,28.69363522437428,Begumpur,2024-10-09T14:20:34,False
other,South someone not American mouth product attention positive actually information majority item gun.,5,Point,77.25131631809244,28.504502242504138,Sangam Vihar,2025-05-26T17:28:12,True
poor_lighting,Religious itself safe whole establish space Mrs low itself room environmental.,2,Point,77.06944223844604,28.478207091378174,IFFCO Chowk,2025-05-11T05:55:50,False
theft,Store beautiful think during let particular her agreement surface.,5,Point,77.25035537383796,28.505103360842252,Sangam Vihar,2024-08-24T02:15:32,True
theft,Deep something future they red everybody act way beat result major serve.,2,Point,77.13476501913298,28.666869190039773,Zakhira Flyover,2025-03-09T16:20:03,True
harassment,Position make society behavior develop reality fill ok list most international second.,4,Point,77.27786617602104,28.682129303030656,Seelampur,2024-10-20T22:35:13,False
poor_lighting,Reflect even edge building court build movie several continue describe.,2,Point,77.04903386682126,28.61926413337662,Kali Basti,2024-12-19T12:26:47,False
other,Right with modern executive beyond create dinner conference add.,3,Point,77.42557347466446,28.70795152764514,Hindon Flyover,2025-01-07T21:53:18,True
unsafe_area,Ever window network recently call than make.,2,Point,77.22284897459048,28.708358721326835,Majnu Ka Tilla,2025-05-19T09:43:34,False
theft,Off light key continue anything wait.,4,Point,77.42650255637629,28.70641839568596,Hindon Flyover,2024-12-17T00:08:50,False
unsafe_area,State husband available picture approach chance none.,3,Point,77.04953690380246,28.618299145660053,Kali Basti,2024-10-10T11:20:27,False
theft,Yes budget share paper so difficult mission.,2,Point,77.18499693195713,28.498920066365496,Chattarpur,2024-12-06T10:29:15,True
poor_lighting,Father open investment notice art whether between several personal enough ball.,3,Point,77.13439935676872,28.666482963477215,Zakhira Flyover,2024-09-15T15:05:38,False
harassment,Necessary choose impact ready like allow explain executive.,2,Point,77.16262243039279,28.58365407682315,Dhaula Kuan,2025-05-14T07:30:14,False
harassment,Author do enough social operation sound cup boy different chance enter.,2,Point,77.25019137422336,28.505193142509974,Sangam Vihar,2024-08-08T17:07:36,False
other,Arrive society organization station TV keep.,2,Point,77.069053176087,28.47897039086669,IFFCO Chowk,2024-12-13T11:58:13,True
harassment,Record wall matter management ball always it focus economy.,3,Point,77.06803994762225,28.478928442943563,IFFCO Chowk,2024-07-19T22:37:00,False
other,While structure offer week yourself public especially American.,4,Point,77.16234925063132,28.58322677495253,Dhaula Kuan,2025-04-04T04:19:30,False
unsafe_area,Like prepare trouble consider one play man before.,4,Point,76.99309131040505,28.609304800774115,Najafgarh,2024-10-27T14:37:14,True
unsafe_area,Four prove tax form really explain war spend nearly lawyer fire.,3,Point,77.42570189974914,28.707331029831902,Hindon Flyover,2024-10-18T00:31:07,False
poor_lighting,Wife identify method write price my including.,3,Point,77.22057151765496,28.642320365369766,Kamla Bridge,2024-08-26T07:47:04,False
unsafe_area,Gun series personal service data near until just recognize building win participant.,5,Point,77.12282740280199,28.53538431959861,Mahipalpur,2024-09-15T09:48:09,False
harassment,Financial add impact different success box water positive.,4,Point,77.25836588171153,28.73483090401983,Sonia Vihar,2024-08-13T06:30:12,False
poor_lighting,Usually factor relate indeed lot line lead certain course out second carry.,2,Point,77.21499470792449,28.539813125789152,Malviya Nagar,2024-07-11T14:03:56,True
other,Significant take future skin environment able rise study oil.,2,Point,77.2115722738181,28.52221083233676,Saket,2025-02-25T18:28:56,False
unsafe_area,Tend land machine forward several help usually thank wonder draw him task.,5,Point,77.03791211602223,28.58608796887916,Dwarka Sec 9,2024-11-21T00:05:24,True
unsafe_area,Fish list tree high write society.,3,Point,77.21201593208455,28.64475177336341,Paharganj,2025-02-22T16:38:46,False
other,Manager already maybe opportunity thank them key.,3,Point,77.05134271719838,28.62263494002891,Uttam Nagar,2025-01-04T17:36:28,True
other,Address century that wide avoid sit enter perhaps however bag forget.,4,Point,77.24758285185162,28.547100079216886,Sant Nagar,2025-03-03T08:51:21,False
other,Here first responsibility service their along attention piece TV young section its.,5,Point,77.06938731088432,28.479994416206466,IFFCO Chowk,2024-07-22T16:56:42,False
theft,Kitchen really tough animal someone fall hear.,4,Point,77.25054259962566,28.505531627368594,Sangam Vihar,2024-08-10T00:11:50,False
unsafe_area,Most not society color bad that people drive tree.,2,Point,77.08836898715603,28.693627089725222,Begumpur,2024-08-09T01:20:32,False
theft,Leave effect effort act source top quality citizen.,3,Point,77.19238789962459,28.647862522959453,Mera Bridge,2024-12-03T00:36:30,False
unsafe_area,Write federal while real lead few yourself table blood high.,5,Point,77.13453184860671,28.665861762782075,Zakhira Flyover,2024-10-31T21:07:49,True
unsafe_area,Fast recognize against stop how account ten sing wind treat seat strategy total.,2,Point,77.42663118915225,28.707813464064607,Hindon Flyover,2025-04-11T17:49:06,False
poor_lighting,Parent good PM per question return process stuff.,3,Point,77.22070689590113,28.64340695025012,Kamla Bridge,2025-02-13T11:05:07,False
other,Tough position final kid often run bed.,3,Point,77.42564587062353,28.7070764589551,Hindon Flyover,2024-10-07T02:01:02,False
poor_lighting,Section compare car much will most tree store either station.,3,Point,77.03828101132612,28.587048362755255,Dwarka Sec 9,2024-12-18T14:32:09,False
unsafe_area,Second full boy while cell whom team right woman.,2,Point,77.24335722553931,28.56686789492432,Moolchand Flyover,2025-05-08T22:17:54,False
harassment,Hand so add Mr lawyer pull public once state wait board doctor agent.,4,Point,77.22142332056842,28.708758207728376,Majnu Ka Tilla,2025-05-23T21:03:16,False
poor_lighting,Foreign particular positive play less red power bring animal also you break doctor.,3,Point,77.03676381246552,28.586104543063566,Dwarka Sec 9,2025-01-09T05:41:10,True
poor_lighting,Home he we recent music onto risk.,2,Point,77.05266246609922,28.622100288186502,Uttam Nagar,2025-05-24T08:02:35,False
theft,Pressure street past voice evidence real describe know door guy wonder.,3,Point,77.24374267131317,28.568378457692567,Moolchand Flyover,2024-11-04T03:11:54,True
harassment,Top population art every why we station begin deep police wife anything.,3,Point,77.21031248739313,28.522230067966873,Saket,2024-10-21T23:55:09,False
theft,Writer skin day stop never only spend do similar.,4,Point,77.209151356851,28.661616197499317,Sadar Bazar,2025-04-16T18:04:52,False
unsafe_area,Able teach certain candidate economy company produce ago address so draw food company.,3,Point,77.03798122883187,28.585751992955686,Dwarka Sec 9,2024-07-04T19:46:58,False
poor_lighting,Score moment second live sing message board.,2,Point,77.21123186511073,28.6459924544332,Paharganj,2024-12-27T03:30:20,True
poor_lighting,War analysis situation term miss leader who article.,2,Point,77.06858246234972,28.479211921579353,IFFCO Chowk,2024-12-17T11:49:24,False
harassment,International blue Republican kitchen tonight focus chance call person one Republican.,5,Point,77.2207711702122,28.64592157513443,GB Road,2024-11-09T09:40:29,False
unsafe_area,Most law painting between reduce table prepare shoulder result Democrat later direction fund.,3,Point,77.25163094746247,28.592067590608025,Nizamuddin Station,2024-12-07T14:18:17,True
unsafe_area,Indeed believe interview professor hear check type attack story behavior benefit.,5,Point,77.21098494923814,28.522951469196844,Saket,2025-03-28T09:27:59,False
harassment,Speech news only no form business government program seek test.,4,Point,77.21518772687838,28.539963262368005,Malviya Nagar,2025-03-21T12:09:40,False
poor_lighting,Why outside goal official defense prevent.,2,Point,77.03725002833578,28.586588613007233,Dwarka Sec 9,2024-09-09T13:30:08,False
poor_lighting,Glass news boy everything difficult investment night.,3,Point,77.24379231001588,28.568259316976075,Lajpat Nagar,2025-04-08T12:22:41,False
other,Party poor ago upon stop environment Congress reflect finally fund accept thank not.,3,Point,77.22044014932821,28.642071225923917,Kamla Bridge,2024-11-17T02:58:10,False
unsafe_area,Center plan air second Democrat information.,5,Point,77.2147344865187,28.539096349099175,Malviya Nagar,2024-10-24T20:46:10,True
theft,Have return since nothing be apply church pay.,4,Point,77.15143804090133,28.649227920043195,Shadipur Metro,2025-03-03T05:13:56,False
unsafe_area,Evening product magazine kind event sense box.,4,Point,77.2435074905257,28.56840362105523,Lajpat Nagar,2024-11-28T10:28:26,False
harassment,Exist question main project animal house out.,3,Point,77.18568576212728,28.498231095888013,Chattarpur,2024-06-17T11:02:14,False
theft,Feeling deep case eight foreign account section compare.,3,Point,77.22155299925393,28.709477209307018,Majnu Ka Tilla,2024-11-09T03:10:43,False
harassment,Region matter street south author technology amount affect TV television office of.,3,Point,77.20382176213829,28.52779249292653,Hauzrani,2025-03-17T00:23:53,False
poor_lighting,Face if whom commercial way least ready gun join black job.,2,Point,77.27710671793359,28.683348589862206,Seelampur,2024-11-16T23:51:05,False
unsafe_area,Bad that second develop single baby plan most create simply go when.,2,Point,77.27714812843925,28.68314543947,Seelampur,2025-02-20T03:21:11,False
poor_lighting,Door chair culture own set pretty concern.,2,Point,77.08820495678098,28.483530995286277,Sikandarpur Metro,2025-04-10T14:51:17,False
harassment,Management senior service large under north play person ten physical character attention kind field.,5,Point,77.21025404231294,28.662383493120583,Sadar Bazar,2024-09-29T03:31:57,False
theft,Argue medical financial later arm story baby ten talk past medical leg never.,4,Point,77.25019638191041,28.59077036181679,Nizamuddin Station,2025-04-17T23:39:55,False
other,Last special prepare focus little character.,3,Point,77.4258607560523,28.707651387079398,Hindon Flyover,2024-07-08T12:05:35,False
other,Billion tonight gas research mean common easy just keep mission city.,5,Point,76.99374205464214,28.60911076048864,Najafgarh,2024-11-06T06:37:15,False
theft,Hold simple quickly appear piece free form newspaper hit.,3,Point,77.21026237493093,28.644929292250577,Paharganj,2024-09-20T08:09:34,True
theft,Their four old center glass whose recognize hot organization visit finally heavy social.,2,Point,77.13497874227157,28.66601703514532,Zakhira Flyover,2025-04-26T06:49:12,False
theft,Prove stock school rate money position interest.,4,Point,77.04910597511618,28.61931391165976,Kali Basti,2024-11-01T23:52:15,False
poor_lighting,Guy Congress degree way main difficult.,2,Point,77.18528912475742,28.498450277932207,Chattarpur,2024-08-06T21:35:26,False
theft,Baby such big side strong this also.,2,Point,77.08948525713247,28.69231927607903,Begumpur,2024-10-23T06:15:36,False
unsafe_area,Capital heavy class story side speak close join improve put down know expect.,2,Point,77.20370818238109,28.52813739594055,Hauzrani,2025-04-01T04:15:16,False
other,Doctor dream whole six tough create question now key show sing.,5,Point,77.08909607332407,28.693075517727145,Begumpur,2024-12-26T18:49:07,False
other,Industry class current painting their appear lose he various represent middle by.,4,Point,77.12285784883144,28.534551729784777,Mahipalpur,2024-07-17T01:09:41,False
poor_lighting,Evening town challenge join watch develop later glass.,2,Point,77.24285038145587,28.56822621800834,Moolchand Flyover,2024-06-24T19:58:22,False
poor_lighting,Apply maybe dog yes heart agreement us stuff practice social case.,2,Point,77.08857176997415,28.483593890949866,Sikandarpur Metro,2024-10-03T21:17:54,False
unsafe_area,Receive catch relationship large accept bad eight strong nature road month book.,4,Point,77.1916421165119,28.648216696186857,Mera Bridge,2024-10-04T08:41:23,True
poor_lighting,Feeling answer information soldier lead book toward others administration.,3,Point,77.25767643559072,28.735187347347967,Sonia Vihar,2024-12-31T15:02:18,False
unsafe_area,Drop century investment pass drive indicate professor beat window attack moment medical write.,2,Point,77.04834654757255,28.61852903431434,Kali Basti,2025-01-15T16:27:33,False
other,Hospital like player wonder effect administration.,2,Point,77.15178518718872,28.649215320772967,Shadipur Metro,2025-04-16T16:55:40,False
other,General run pick sign same forward.,4,Point,77.03569698620477,28.812645267745204,Bawana,2024-07-01T16:37:37,False
theft,National spend compare single let receive place specific as simply.,4,Point,77.05295534552168,28.621898439278173,Uttam Nagar,2024-12-09T05:16:17,False
harassment,Fall analysis current among value middle.,2,Point,77.22071774333416,28.645946293631642,GB Road,2025-04-27T03:31:26,True
poor_lighting,List already positive experience television answer pretty event son join hundred keep.,2,Point,77.25728641840256,28.734904502818107,Sonia Vihar,2024-11-11T15:10:44,False
unsafe_area,Wind many marriage under mind song risk bad own state.,2,Point,77.20940794224886,28.66269541937757,Sadar Bazar,2025-01-12T07:34:42,False
other,Fly bag produce fill owner international ready goal amount.,4,Point,77.20406499915391,28.52803098068587,Hauzrani,2025-05-18T08:43:22,False
other,Past itself police social arm provide image message seek civil.,3,Point,77.24764373629985,28.545967172026494,Sant Nagar,2024-06-26T13:38:24,False
harassment,Support question just call door population gun.,4,Point,77.27770882475994,28.682945350265356,Seelampur,2025-01-20T18:29:30,False
harassment,Painting quickly we head several off.,4,Point,77.08957495184521,28.693652101965228,Begumpur,2025-01-06T02:18:44,False
theft,Huge power economic box save material hit no energy employee.,5,Point,77.2201902478834,28.645077161155406,GB Road,2024-12-04T18:57:19,False
unsafe_area,You experience trouble make but table later together.,4,Point,77.03856154926267,28.58733920336647,Dwarka Sec 9,2024-12-04T08:07:32,True
theft,Specific whose worry property remember nearly face.,5,Point,77.03808941030313,28.585687294598195,Dwarka Sec 9,2024-10-08T23:11:14,False
unsafe_area,Republican until point soldier meeting building cut catch.,3,Point,77.03667403922269,28.586590657299233,Dwarka Sec 9,2025-04-17T10:11:58,False
harassment,Ago network hard sound necessary partner beat finally yourself rest moment shoulder.,5,Point,77.16392088335539,28.582099423395483,Dhaula Kuan,2025-04-30T05:28:04,True
unsafe_area,Available win politics last quite general there sister policy consider whom item treat.,3,Point,77.25126305058254,28.590749656496488,Nizamuddin Station,2024-07-05T23:52:25,True
harassment,Million fight class various different way million.,4,Point,77.15241868436834,28.649604682673132,Shadipur Metro,2024-10-02T18:54:38,False
unsafe_area,Economy play nearly by field move maybe.,2,Point,77.1228695404862,28.535734918923204,Mahipalpur,2024-08-18T23:11:20,False
theft,Walk child probably result painting successful nor stay agreement animal political officer prepare.,2,Point,77.20329688625276,28.528067942943846,Hauzrani,2025-04-08T07:57:52,False
unsafe_area,Indicate police marriage phone face what lot source rate father authority art keep.,3,Point,77.2119068481241,28.645788002325585,Paharganj,2024-12-19T12:56:10,True
poor_lighting,Daughter parent fine responsibility safe team wish candidate have no five.,3,Point,77.05139113959139,28.621549682179552,Uttam Nagar,2024-12-12T15:13:41,False
theft,Environment easy best face his past eat.,3,Point,77.22274167919728,28.70815793670132,Majnu Ka Tilla,2025-05-16T12:38:20,False
unsafe_area,Spend value return couple city you level these.,3,Point,77.215975809262,28.53866437688859,Malviya Nagar,2024-12-24T15:12:56,False
unsafe_area,Bed hotel lead drive on any.,4,Point,77.21931595124414,28.643255221771398,Kamla Bridge,2024-10-01T17:49:11,False
other,Our successful pull experience account blue care enough hand idea and anything.,4,Point,77.24344861787692,28.56897787740472,Lajpat Nagar,2025-01-18T15:54:04,True
theft,Guy eye hit late near stay perhaps particularly.,5,Point,76.99271330653484,28.61020667091732,Najafgarh,2024-08-03T10:37:05,False
other,Hour some fund voice sense current meeting.,4,Point,77.24319046150777,28.569685384087254,Lajpat Nagar,2024-12-25T16:27:09,False
poor_lighting,And case four listen lead paper.,2,Point,77.15207159898547,28.64903185803391,Shadipur Metro,2024-12-31T16:15:01,False
other,Foreign party class wrong school federal from.,5,Point,77.05290586983689,28.622465677799347,Uttam Nagar,2025-05-02T03:36:18,False
other,Mother remember feel staff happy purpose woman on someone rise read ago.,4,Point,77.18458026397855,28.498038009077856,Chattarpur,2024-12-15T18:53:24,True
harassment,Whose situation simply officer return on color pick people.,2,Point,77.27688164638033,28.682017865767907,Seelampur,2025-05-07T03:38:04,False
harassment,Challenge quite all way body affect finish charge real improve.,4,Point,77.27683100618684,28.68205343825143,Seelampur,2025-04-11T10:39:14,True
other,Turn their save artist catch debate foot production moment finish community treatment garden.,4,Point,77.10661394016913,28.721660945239133,Rithala Metro,2024-10-30T01:34:57,False
poor_lighting,Particular court east newspaper different win father eye debate.,3,Point,77.2107366627777,28.52290846507721,Saket,2025-03-15T06:21:19,True
unsafe_area,First give value somebody event business quality here woman stand west source.,4,Point,77.18498914912065,28.497780605751135,Chattarpur,2024-10-05T06:36:12,True
unsafe_area,Explain research get kind either look.,4,Point,77.2104446815947,28.66274565676375,Sadar Bazar,2024-08-31T22:47:56,False
harassment,Even no even body scientist dream anything toward difficult do beyond form.,3,Point,77.1073390937341,28.720942953735964,Rithala Metro,2024-12-14T22:30:43,False
other,Race case who within citizen present thing.,3,Point,77.12367080784476,28.53579530476128,Mahipalpur,2024-12-16T05:13:50,False
unsafe_area,Practice sense expert experience arrive shoulder present discussion school sure also TV.,2,Point,76.99439252306576,28.608779554025016,Najafgarh,2024-11-23T18:21:32,False
harassment,Value already structure small control see the face.,2,Point,77.22057509321176,28.644469600064863,GB Road,2024-06-29T00:35:55,False
other,Fear owner up friend lawyer political.,5,Point,77.10755319830112,28.721174680691096,Rithala Metro,2025-01-04T02:23:29,False
unsafe_area,Threat care mean evening speak former room possible responsibility add front far.,5,Point,77.21065948028017,28.646278106131426,Paharganj,2025-03-03T09:15:46,False
unsafe_area,Compare task today still middle beautiful protect continue.,5,Point,77.1727109003866,28.461701110339703,Fatehpur Beri,2024-08-08T01:59:10,True
other,Food easy end dog send west few reveal activity president realize artist.,4,Point,77.10665176288173,28.720121100178332,Rithala Metro,2024-07-30T09:19:26,False
harassment,Fill if maybe time region financial brother trouble far pass despite.,3,Point,77.24699429191904,28.546483408934467,Sant Nagar,2024-08-05T08:20:23,True
theft,Check security paper indeed near likely Mr professional despite easy senior their.,3,Point,77.16251041115028,28.583473956199953,Dhaula Kuan,2024-07-16T06:28:30,False
other,Land region back nor article natural measure of change foreign minute break.,3,Point,77.17146599735808,28.461426105962243,Fatehpur Beri,2024-09-02T05:52:09,False
poor_lighting,Major together knowledge argue car indeed nor next pull final against effort able.,2,Point,77.22008043091373,28.643875054608735,Kamla Bridge,2024-09-07T02:22:33,False
harassment,Authority interest red must art thus worry line expert conference career political role.,3,Point,77.21067996932847,28.661429720654464,Sadar Bazar,2024-11-24T17:26:45,True
harassment,Year him thank trade heart radio product much president girl.,3,Point,77.12265351708743,28.535030735016647,Mahipalpur,2024-08-22T18:53:00,False
harassment,Hotel camera without strong series without leg rest interest here discover leave.,5,Point,77.20982407794763,28.662296550428543,Sadar Bazar,2024-08-13T17:13:28,False
other,Country themselves she allow produce past view threat drive.,3,Point,77.0877867300738,28.48349083128594,Sikandarpur Metro,2024-07-10T14:35:07,False
unsafe_area,Order land public the each analysis keep.,2,Point,76.993457963822,28.60862165081499,Najafgarh,2025-01-10T02:18:52,False
unsafe_area,Senior simply cell year doctor trouble office officer.,5,Point,77.21026158095482,28.64454698143153,Paharganj,2025-04-10T11:57:59,False
theft,Down then worry miss including every news option same compare.,4,Point,77.1347707293771,28.666448634988562,Zakhira Flyover,2025-03-05T01:47:53,False
other,New another general poor high modern recent impact feel contain Mrs.,4,Point,77.03781085358307,28.58650743083515,Dwarka Sec 9,2024-09-16T01:22:29,True
other,Feeling remain south trip none whose newspaper care.,3,Point,77.21087618204398,28.662260139883333,Sadar Bazar,2024-09-16T18:59:38,False
unsafe_area,Data position two suggest begin right couple environmental purpose.,5,Point,77.2464250967,28.54665922501527,Sant Nagar,2025-02-03T15:01:45,False
poor_lighting,Them could seven right next look.,2,Point,77.25044853577118,28.505373642070932,Sangam Vihar,2025-05-18T03:28:20,True
harassment,Field training deep couple scientist section senior trial receive region.,5,Point,77.19247759199698,28.64759312886513,Mera Bridge,2024-11-15T12:16:02,False
other,Need simply herself move grow end mention market better.,4,Point,77.05192161726583,28.622140026529465,Uttam Nagar,2025-03-22T00:46:16,False
harassment,Seven floor data fine animal ten scientist administration network once result far.,4,Point,77.06860329237139,28.47940082018245,IFFCO Chowk,2024-08-29T16:01:42,False
theft,Discover now early nearly want front shake major rich science.,5,Point,77.17121643676386,28.460248489738213,Fatehpur Beri,2024-12-10T10:37:34,False
harassment,Run goal cause national contain threat wrong whatever.,4,Point,77.1077144427423,28.721148200008663,Rithala Metro,2025-01-03T22:54:16,False
other,Stuff avoid stand any according case.,4,Point,77.24304654077743,28.56675790636212,Moolchand Flyover,2025-02-14T09:57:14,False
poor_lighting,Attack character despite lay art point value tree.,2,Point,77.16238650298068,28.582262811116422,Dhaula Kuan,2025-02-25T12:21:50,False
theft,Administration mother in admit reveal movie expert maybe recently issue vote conference.,2,Point,77.13466096537732,28.66538351536611,Zakhira Flyover,2025-06-06T00:13:26,False
poor_lighting,Modern drive people education great some bad.,2,Point,77.24724319193548,28.545940106184954,Sant Nagar,2024-11-19T03:50:18,False
harassment,North wrong difficult range summer president teach service behavior here need.,3,Point,77.19223567636385,28.647714819794214,Mera Bridge,2024-07-06T06:25:03,False
unsafe_area,Reflect bar suddenly population former with.,5,Point,77.08878408837339,28.693171323409782,Begumpur,2024-07-21T12:13:31,True
poor_lighting,Try discover top realize note even under range exactly myself probably conference.,3,Point,77.21045643578586,28.661621779544404,Sadar Bazar,2025-05-10T17:56:54,False
harassment,Administration debate certain star start up federal nor note support.,3,Point,76.99369864991388,28.609290526792176,Najafgarh,2025-03-04T09:48:42,True
theft,Forward sense cause write right may window approach join stuff future shoulder.,3,Point,76.99307889426244,28.610028321791525,Najafgarh,2025-01-31T18:51:49,True
unsafe_area,Why for plant situation late direction need heart control one herself.,3,Point,77.22056516469574,28.644258371403517,GB Road,2025-04-10T08:30:37,True
