type,description,severity,location.type,location.coordinates,reportedAt,verified
poor_lighting,Area reported to have poor street lighting,1,Point,"[76.978604, 28.501625]",05-04-2024 13:24,FALSE
theft,Reported theft case,3,Point,"[77.061215, 28.430912]",22-01-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.160389, 28.635961]",02-08-2023 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.502375, 28.716905]",16-02-2023 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.162163, 28.613779]",19-04-2025 13:24,FALSE
other,Miscellaneous safety concern reported,5,Point,"[77.184018, 28.574894]",01-02-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.06271, 28.507706]",01-02-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.362216, 28.397687]",30-10-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.250407, 28.643756]",16-12-2023 13:24,FALSE
other,Miscellaneous safety concern reported,2,Point,"[77.399258, 28.56713]",08-03-2025 13:24,FALSE
harassment,Reported incident of harassment,5,Point,"[77.484338, 28.632356]",05-02-2025 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.242858, 28.603886]",11-08-2024 13:24,FALSE
theft,Reported theft case,4,Point,"[77.354264, 28.501205]",27-05-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.468705, 28.621274]",31-01-2023 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.442535, 28.654742]",07-02-2023 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.3038, 28.441064]",19-02-2025 13:24,TRUE
other,Miscellaneous safety concern reported,3,Point,"[77.331331, 28.432]",14-01-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.47909, 28.697686]",13-12-2023 13:24,TRUE
theft,Reported theft case,2,Point,"[77.02929, 28.432197]",02-02-2025 13:24,FALSE
other,Miscellaneous safety concern reported,3,Point,"[77.237313, 28.573133]",10-10-2024 13:24,FALSE
harassment,Reported incident of harassment,3,Point,"[77.340682, 28.426007]",20-04-2025 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,4,Point,"[77.339868, 28.447113]",26-10-2023 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[77.456302, 28.643996]",16-04-2023 13:24,FALSE
other,Miscellaneous safety concern reported,3,Point,"[77.075925, 28.477299]",02-03-2025 13:24,TRUE
theft,Reported theft case,1,Point,"[77.272185, 28.387248]",01-02-2023 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.45523, 28.691847]",15-03-2024 13:24,FALSE
harassment,Reported incident of harassment,5,Point,"[77.41979, 28.527884]",03-10-2024 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.489513, 28.656]",21-08-2023 13:24,FALSE
harassment,Reported incident of harassment,3,Point,"[77.362374, 28.582187]",07-02-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.256857, 28.620475]",06-01-2025 13:24,TRUE
theft,Reported theft case,2,Point,"[77.421626, 28.509039]",16-07-2023 13:24,FALSE
harassment,Reported incident of harassment,5,Point,"[77.342573, 28.38151]",10-10-2024 13:24,FALSE
harassment,Reported incident of harassment,3,Point,"[77.299507, 28.359816]",17-02-2024 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.209702, 28.647986]",22-02-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,4,Point,"[77.009672, 28.416544]",23-12-2024 13:24,TRUE
theft,Reported theft case,1,Point,"[77.302741, 28.387338]",18-01-2023 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.258935, 28.622607]",20-02-2023 13:24,FALSE
theft,Reported theft case,4,Point,"[77.437514, 28.495357]",21-07-2024 13:24,TRUE
harassment,Reported incident of harassment,4,Point,"[77.374997, 28.491068]",21-04-2023 13:24,TRUE
theft,Reported theft case,5,Point,"[77.365384, 28.433198]",06-01-2025 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.215356, 28.660186]",29-11-2023 13:24,TRUE
other,Miscellaneous safety concern reported,3,Point,"[77.063805, 28.426486]",26-11-2023 13:24,FALSE
theft,Reported theft case,2,Point,"[77.448705, 28.702655]",15-12-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,5,Point,"[77.363785, 28.379464]",18-04-2023 13:24,FALSE
harassment,Reported incident of harassment,2,Point,"[77.456614, 28.67363]",28-11-2023 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[77.287556, 28.422191]",28-04-2025 13:24,TRUE
theft,Reported theft case,4,Point,"[77.441759, 28.65222]",06-04-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,5,Point,"[77.411352, 28.557342]",22-04-2025 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[77.06378, 28.450911]",28-11-2023 13:24,FALSE
other,Miscellaneous safety concern reported,3,Point,"[77.404665, 28.651633]",19-05-2025 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,2,Point,"[77.503327, 28.704878]",25-01-2024 13:24,FALSE
other,Miscellaneous safety concern reported,5,Point,"[77.364372, 28.50161]",04-09-2024 13:24,TRUE
harassment,Reported incident of harassment,4,Point,"[77.165018, 28.623049]",15-05-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,3,Point,"[77.015029, 28.472603]",19-05-2025 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.400405, 28.570752]",22-09-2023 13:24,FALSE
harassment,Reported incident of harassment,2,Point,"[77.496184, 28.669349]",16-01-2024 13:24,TRUE
theft,Reported theft case,2,Point,"[77.359534, 28.420935]",10-09-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.028164, 28.427677]",18-05-2025 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.010266, 28.454539]",18-10-2023 13:24,FALSE
other,Miscellaneous safety concern reported,1,Point,"[77.351446, 28.518425]",24-03-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.198858, 28.606335]",16-02-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,4,Point,"[77.248435, 28.619302]",16-09-2024 13:24,FALSE
harassment,Reported incident of harassment,2,Point,"[77.220597, 28.643142]",16-04-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.055491, 28.412231]",07-03-2024 13:24,TRUE
theft,Reported theft case,5,Point,"[77.45781, 28.621831]",12-11-2023 13:24,FALSE
theft,Reported theft case,2,Point,"[77.484016, 28.647251]",09-07-2023 13:24,FALSE
other,Miscellaneous safety concern reported,2,Point,"[77.007989, 28.42313]",02-01-2024 13:24,TRUE
harassment,Reported incident of harassment,4,Point,"[77.41545, 28.574]",06-04-2025 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.213464, 28.595597]",25-11-2024 13:24,TRUE
theft,Reported theft case,4,Point,"[77.004568, 28.488826]",10-07-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,3,Point,"[77.212396, 28.660056]",29-02-2024 13:24,FALSE
other,Miscellaneous safety concern reported,1,Point,"[77.453726, 28.687943]",07-06-2023 13:24,TRUE
theft,Reported theft case,1,Point,"[77.19869, 28.597322]",23-05-2023 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,4,Point,"[77.435343, 28.529359]",16-01-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.426089, 28.619751]",10-12-2022 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.448218, 28.681402]",20-01-2024 13:24,FALSE
theft,Reported theft case,4,Point,"[77.435051, 28.493761]",22-03-2023 13:24,FALSE
other,Miscellaneous safety concern reported,5,Point,"[77.357115, 28.430472]",16-03-2025 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.405891, 28.488979]",08-09-2024 13:24,FALSE
theft,Reported theft case,1,Point,"[77.360112, 28.53104]",12-01-2024 13:24,TRUE
theft,Reported theft case,3,Point,"[77.437303, 28.486618]",27-01-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.281275, 28.384244]",15-03-2025 13:24,TRUE
harassment,Reported incident of harassment,3,Point,"[77.465153, 28.637434]",30-04-2023 13:24,TRUE
harassment,Reported incident of harassment,1,Point,"[77.0534, 28.495524]",31-08-2024 13:24,TRUE
theft,Reported theft case,5,Point,"[77.472873, 28.707587]",08-08-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.193051, 28.634605]",08-12-2024 13:24,TRUE
other,Miscellaneous safety concern reported,2,Point,"[77.427929, 28.50559]",26-01-2025 13:24,FALSE
harassment,Reported incident of harassment,1,Point,"[77.237807, 28.624599]",25-03-2023 13:24,FALSE
theft,Reported theft case,1,Point,"[77.48646, 28.665335]",02-12-2024 13:24,TRUE
harassment,Reported incident of harassment,4,Point,"[77.342947, 28.539499]",08-04-2023 13:24,TRUE
theft,Reported theft case,1,Point,"[77.464222, 28.683558]",25-08-2024 13:24,FALSE
harassment,Reported incident of harassment,1,Point,"[76.976814, 28.460169]",26-11-2024 13:24,FALSE
other,Miscellaneous safety concern reported,4,Point,"[77.373448, 28.534761]",18-06-2024 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.285127, 28.420935]",30-11-2024 13:24,TRUE
theft,Reported theft case,1,Point,"[77.285489, 28.380555]",26-04-2024 13:24,TRUE
theft,Reported theft case,1,Point,"[77.427561, 28.700527]",25-03-2023 13:24,TRUE
harassment,Reported incident of harassment,1,Point,"[77.026677, 28.432573]",13-12-2022 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.205326, 28.564475]",19-06-2024 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.209291, 28.578911]",18-09-2023 13:24,FALSE
other,Miscellaneous safety concern reported,1,Point,"[77.493915, 28.715509]",11-05-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,3,Point,"[77.248137, 28.626692]",27-03-2025 13:24,FALSE
other,Miscellaneous safety concern reported,2,Point,"[77.282777, 28.40604]",30-11-2023 13:24,FALSE
theft,Reported theft case,1,Point,"[77.471762, 28.631042]",23-02-2023 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.213998, 28.628758]",15-05-2024 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[77.062086, 28.413267]",01-10-2024 13:24,TRUE
other,Miscellaneous safety concern reported,5,Point,"[77.217265, 28.621042]",31-01-2025 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.419049, 28.624412]",27-05-2023 13:24,TRUE
harassment,Reported incident of harassment,4,Point,"[77.355535, 28.398207]",18-02-2023 13:24,TRUE
theft,Reported theft case,5,Point,"[77.471747, 28.719121]",26-06-2024 13:24,FALSE
theft,Reported theft case,4,Point,"[77.354068, 28.388422]",11-10-2023 13:24,TRUE
theft,Reported theft case,4,Point,"[77.065213, 28.474701]",30-09-2023 13:24,FALSE
harassment,Reported incident of harassment,5,Point,"[77.367334, 28.362861]",03-01-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.354551, 28.430393]",31-01-2025 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.057326, 28.503876]",19-10-2023 13:24,TRUE
theft,Reported theft case,1,Point,"[77.445938, 28.718031]",29-02-2024 13:24,TRUE
harassment,Reported incident of harassment,1,Point,"[77.426826, 28.519501]",01-04-2024 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.502127, 28.624442]",09-12-2022 13:24,FALSE
other,Miscellaneous safety concern reported,4,Point,"[77.420851, 28.621734]",18-06-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,3,Point,"[76.999576, 28.412145]",07-06-2024 13:24,TRUE
other,Miscellaneous safety concern reported,5,Point,"[77.34765, 28.445988]",19-03-2023 13:24,FALSE
other,Miscellaneous safety concern reported,1,Point,"[77.17379, 28.587544]",11-06-2023 13:24,FALSE
other,Miscellaneous safety concern reported,5,Point,"[77.052751, 28.436918]",09-12-2022 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.41783, 28.642971]",08-04-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.042155, 28.451749]",28-04-2025 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.322448, 28.386565]",14-09-2024 13:24,TRUE
other,Miscellaneous safety concern reported,3,Point,"[77.288696, 28.368888]",28-11-2024 13:24,TRUE
theft,Reported theft case,5,Point,"[77.390034, 28.557541]",03-03-2025 13:24,TRUE
other,Miscellaneous safety concern reported,3,Point,"[77.379744, 28.545147]",01-12-2024 13:24,FALSE
other,Miscellaneous safety concern reported,2,Point,"[77.466815, 28.679591]",23-09-2023 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.333601, 28.397862]",26-05-2023 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.175508, 28.589565]",21-10-2023 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.406214, 28.531955]",09-01-2023 13:24,FALSE
theft,Reported theft case,3,Point,"[77.057048, 28.471866]",05-08-2023 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.256658, 28.597304]",13-05-2023 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.378593, 28.567592]",03-02-2024 13:24,TRUE
other,Miscellaneous safety concern reported,2,Point,"[77.436748, 28.675627]",01-01-2024 13:24,TRUE
other,Miscellaneous safety concern reported,2,Point,"[77.366753, 28.519952]",04-10-2023 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,5,Point,"[77.327595, 28.360841]",06-10-2023 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[76.98174, 28.501938]",20-03-2025 13:24,TRUE
theft,Reported theft case,5,Point,"[77.055338, 28.42846]",02-07-2024 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.407678, 28.504514]",15-02-2024 13:24,TRUE
theft,Reported theft case,5,Point,"[77.051136, 28.452883]",10-05-2025 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.33208, 28.361425]",08-08-2024 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,3,Point,"[77.357813, 28.448964]",25-12-2023 13:24,TRUE
harassment,Reported incident of harassment,3,Point,"[77.006108, 28.417766]",11-02-2025 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[77.278941, 28.387418]",31-05-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,4,Point,"[77.172137, 28.62883]",11-02-2025 13:24,TRUE
theft,Reported theft case,5,Point,"[77.346781, 28.552973]",21-01-2025 13:24,TRUE
theft,Reported theft case,1,Point,"[77.376734, 28.529971]",21-05-2025 13:24,FALSE
harassment,Reported incident of harassment,3,Point,"[77.009981, 28.496812]",26-10-2024 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.470879, 28.640207]",15-05-2023 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.023178, 28.508712]",15-04-2023 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[76.997171, 28.412463]",10-01-2024 13:24,FALSE
harassment,Reported incident of harassment,1,Point,"[77.208343, 28.663005]",12-04-2024 13:24,TRUE
theft,Reported theft case,3,Point,"[77.438088, 28.569708]",23-11-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,5,Point,"[77.011747, 28.415179]",02-02-2025 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.285999, 28.440589]",24-05-2024 13:24,TRUE
other,Miscellaneous safety concern reported,5,Point,"[77.316286, 28.423789]",03-01-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.269483, 28.439854]",21-09-2023 13:24,FALSE
harassment,Reported incident of harassment,5,Point,"[77.354603, 28.37421]",04-04-2024 13:24,FALSE
theft,Reported theft case,3,Point,"[77.278172, 28.362554]",12-01-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,5,Point,"[77.231013, 28.576192]",10-07-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.425139, 28.619615]",11-12-2023 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,1,Point,"[76.996375, 28.412357]",22-12-2023 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.365009, 28.576491]",12-05-2023 13:24,TRUE
theft,Reported theft case,5,Point,"[77.460139, 28.682918]",22-07-2024 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.279085, 28.401218]",24-02-2024 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.417661, 28.520471]",05-08-2023 13:24,TRUE
theft,Reported theft case,4,Point,"[77.286649, 28.416592]",23-05-2025 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.335612, 28.422023]",25-01-2023 13:24,FALSE
other,Miscellaneous safety concern reported,1,Point,"[76.999613, 28.49516]",26-02-2024 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.416311, 28.687718]",19-08-2024 13:24,FALSE
theft,Reported theft case,5,Point,"[77.490091, 28.695573]",23-09-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,5,Point,"[77.238229, 28.611097]",04-04-2025 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,2,Point,"[76.988609, 28.410272]",22-05-2023 13:24,TRUE
theft,Reported theft case,4,Point,"[77.362361, 28.396212]",04-01-2023 13:24,TRUE
harassment,Reported incident of harassment,4,Point,"[77.034019, 28.432101]",08-03-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.210379, 28.633332]",20-01-2025 13:24,TRUE
theft,Reported theft case,5,Point,"[77.4414, 28.665661]",04-04-2025 13:24,TRUE
theft,Reported theft case,2,Point,"[77.477174, 28.678988]",17-06-2023 13:24,FALSE
harassment,Reported incident of harassment,3,Point,"[77.290902, 28.452017]",08-06-2023 13:24,TRUE
theft,Reported theft case,3,Point,"[77.284474, 28.384911]",20-01-2023 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.010402, 28.470471]",22-05-2025 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[77.476894, 28.682486]",02-09-2024 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.219738, 28.585125]",07-04-2023 13:24,FALSE
other,Miscellaneous safety concern reported,4,Point,"[77.071065, 28.459049]",24-03-2025 13:24,FALSE
other,Miscellaneous safety concern reported,3,Point,"[76.982706, 28.490088]",22-01-2025 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.042533, 28.484988]",14-09-2024 13:24,FALSE
harassment,Reported incident of harassment,1,Point,"[77.334389, 28.421301]",16-02-2023 13:24,TRUE
theft,Reported theft case,2,Point,"[76.982439, 28.415068]",24-03-2024 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.356119, 28.576426]",07-04-2024 13:24,TRUE
theft,Reported theft case,3,Point,"[77.407765, 28.680714]",10-08-2023 13:24,FALSE
other,Miscellaneous safety concern reported,2,Point,"[77.383277, 28.545035]",22-05-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,2,Point,"[77.059718, 28.462011]",02-04-2025 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.019353, 28.461268]",22-04-2025 13:24,TRUE
harassment,Reported incident of harassment,4,Point,"[77.181764, 28.58825]",22-01-2023 13:24,TRUE
harassment,Reported incident of harassment,3,Point,"[77.248566, 28.628954]",24-02-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,2,Point,"[77.377053, 28.574733]",05-11-2024 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.217634, 28.627768]",11-10-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.422112, 28.545621]",11-05-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.496127, 28.718922]",28-04-2023 13:24,TRUE
harassment,Reported incident of harassment,3,Point,"[77.031741, 28.490418]",01-04-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,3,Point,"[77.324108, 28.370978]",16-03-2023 13:24,TRUE
theft,Reported theft case,5,Point,"[77.159524, 28.63807]",02-07-2023 13:24,TRUE
other,Miscellaneous safety concern reported,3,Point,"[77.429625, 28.566537]",29-12-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,4,Point,"[77.168774, 28.567865]",10-02-2024 13:24,TRUE
other,Miscellaneous safety concern reported,3,Point,"[77.321498, 28.414707]",17-06-2023 13:24,TRUE
theft,Reported theft case,4,Point,"[77.411212, 28.501228]",22-10-2023 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.241328, 28.586349]",31-10-2023 13:24,TRUE
harassment,Reported incident of harassment,1,Point,"[77.001058, 28.440474]",21-05-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.390553, 28.51756]",06-08-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,2,Point,"[77.362753, 28.548057]",08-06-2024 13:24,TRUE
harassment,Reported incident of harassment,5,Point,"[77.337561, 28.412015]",12-04-2023 13:24,FALSE
theft,Reported theft case,4,Point,"[77.359774, 28.517061]",04-01-2025 13:24,FALSE
other,Miscellaneous safety concern reported,1,Point,"[77.30702, 28.429264]",27-01-2023 13:24,TRUE
other,Miscellaneous safety concern reported,4,Point,"[77.315494, 28.397651]",09-03-2023 13:24,FALSE
harassment,Reported incident of harassment,3,Point,"[77.174633, 28.642503]",30-12-2022 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.043645, 28.458766]",15-05-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.366916, 28.364507]",12-12-2023 13:24,FALSE
theft,Reported theft case,2,Point,"[77.343435, 28.401742]",17-11-2023 13:24,FALSE
other,Miscellaneous safety concern reported,2,Point,"[77.028145, 28.451077]",04-05-2023 13:24,FALSE
other,Miscellaneous safety concern reported,5,Point,"[77.252795, 28.623352]",24-01-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,1,Point,"[77.354845, 28.435317]",10-03-2023 13:24,FALSE
harassment,Reported incident of harassment,2,Point,"[77.405537, 28.705788]",04-03-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.347116, 28.458604]",20-02-2023 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.016807, 28.442273]",26-05-2023 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.321762, 28.456664]",13-12-2024 13:24,FALSE
theft,Reported theft case,5,Point,"[77.32624, 28.456785]",03-03-2025 13:24,FALSE
other,Miscellaneous safety concern reported,3,Point,"[77.041083, 28.503038]",03-02-2023 13:24,TRUE
other,Miscellaneous safety concern reported,3,Point,"[77.357252, 28.362304]",22-01-2025 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.038759, 28.423849]",22-07-2024 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.347993, 28.585356]",19-07-2024 13:24,TRUE
other,Miscellaneous safety concern reported,2,Point,"[77.430501, 28.535363]",12-05-2025 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.466078, 28.690026]",24-02-2025 13:24,TRUE
harassment,Reported incident of harassment,3,Point,"[77.424259, 28.663439]",15-10-2024 13:24,FALSE
theft,Reported theft case,1,Point,"[77.41543, 28.688792]",20-04-2025 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.316545, 28.360994]",10-01-2025 13:24,TRUE
other,Miscellaneous safety concern reported,2,Point,"[77.069643, 28.452008]",01-01-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.370133, 28.494859]",30-01-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[77.440637, 28.495369]",21-05-2024 13:24,TRUE
other,Miscellaneous safety concern reported,2,Point,"[77.487518, 28.710257]",31-05-2023 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.066676, 28.461043]",19-01-2025 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.056214, 28.454455]",13-12-2024 13:24,FALSE
harassment,Reported incident of harassment,2,Point,"[77.360645, 28.41619]",31-12-2023 13:24,FALSE
theft,Reported theft case,4,Point,"[77.185643, 28.569088]",03-11-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.001197, 28.498338]",13-01-2024 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.468757, 28.636022]",15-01-2025 13:24,TRUE
harassment,Reported incident of harassment,2,Point,"[77.296786, 28.363652]",25-09-2023 13:24,FALSE
harassment,Reported incident of harassment,4,Point,"[77.348623, 28.580369]",01-03-2025 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,1,Point,"[76.984411, 28.438849]",19-03-2024 13:24,TRUE
theft,Reported theft case,4,Point,"[77.020955, 28.466328]",09-01-2025 13:24,TRUE
